nmax,profile,rep,predicted_n,predicted_per_second,error
2,warmup,0,16,85.24240809802878,
2,creative,1,256,71.85323527612131,
2,creative,2,256,68.96003685051969,
2,reason,1,1024,78.99562006315946,
2,reason,2,1024,78.19330101801722,
3,warmup,0,16,88.8000888000888,
3,creative,1,256,62.99589271701039,
3,creative,2,256,70.74981538720047,
3,reason,1,1024,82.12315955703859,
3,reason,2,1024,83.75188145248336,
4,warmup,0,16,102.20833892285187,
4,creative,1,256,57.01604734470031,
4,creative,2,256,60.90249890565823,
4,reason,1,1024,89.15249237807134,
4,reason,2,1024,88.78036414168028,
