combo,profile,rep,prompt_n,prompt_per_second,predicted_n,predicted_per_second,cached_n,error
none,warmup,0,29,203.4730748991405,16,43.18220461347878,0,
none,pp_8k,1,9001,649.2500408260773,1,1000000.0,0,
none,pp_8k,2,9001,650.7321043429879,1,1000000.0,0,
none,creative,1,29,216.71387043499703,256,41.1644125934802,0,
none,creative,2,29,208.42766481956633,256,41.17635042747003,0,
none,reason,1,76,327.01111837802483,1024,40.93455180783211,0,
none,reason,2,76,326.5713021171274,1024,40.89615782594108,0,
mtp-n2,warmup,0,29,214.53036344402608,16,82.32739546993507,0,
mtp-n2,pp_8k,1,9001,635.24707307141,1,1000000.0,0,
mtp-n2,pp_8k,2,9001,634.605135796404,1,1000000.0,0,
mtp-n2,creative,1,29,226.12438400598842,256,72.06166451748382,0,
mtp-n2,creative,2,29,218.2617334497396,256,69.32362080521011,0,
mtp-n2,reason,1,76,335.389802384798,1024,78.27256724618687,0,
mtp-n2,reason,2,76,334.8386386165878,1024,79.02923695882531,0,
ngram-mod,warmup,0,29,219.8718677736078,16,43.74082467857328,0,
ngram-mod,pp_8k,1,9001,650.5256892240538,1,1000000.0,0,
ngram-mod,pp_8k,2,9001,650.1535419824677,1,1000000.0,0,
ngram-mod,creative,1,29,224.8114297231718,256,41.116750209157374,0,
ngram-mod,creative,2,29,216.03420789940256,256,49.38191587944949,0,
ngram-mod,reason,1,76,332.7757879342505,1024,40.90588315282414,0,
ngram-mod,reason,2,76,331.07534142144584,1024,54.52155683323889,0,
ngram-map-k4v,warmup,0,29,219.72360286095284,16,43.712741717801464,0,
ngram-map-k4v,pp_8k,1,9001,637.4103281009648,1,1000000.0,0,
ngram-map-k4v,pp_8k,2,9001,637.481429219058,1,1000000.0,0,
ngram-map-k4v,creative,1,29,224.96315258707628,256,41.10970510209981,0,
ngram-map-k4v,creative,2,29,213.57764652163024,256,41.12685659241823,0,
ngram-map-k4v,reason,1,76,332.13589602398366,1024,40.07161705840912,0,
ngram-map-k4v,reason,2,76,331.078225943464,1024,40.42254188312201,0,
mtp-n2+ngram-mod,warmup,0,29,215.18780701363846,16,85.21925315977012,0,
mtp-n2+ngram-mod,pp_8k,1,9001,633.2894090384702,1,1000000.0,0,
mtp-n2+ngram-mod,pp_8k,2,9001,633.3538892474368,1,1000000.0,0,
mtp-n2+ngram-mod,creative,1,29,224.5798807403392,256,72.07556221753981,0,
mtp-n2+ngram-mod,creative,2,29,217.43042226487523,256,90.78413377042111,0,
mtp-n2+ngram-mod,reason,1,76,334.3878282830505,1024,78.84562004495893,0,
mtp-n2+ngram-mod,reason,2,76,334.1570010288518,1024,107.7100970116654,0,
mtp-n2+ngram-map-k4v,warmup,0,29,214.3606877282202,16,84.85902793983495,0,
mtp-n2+ngram-map-k4v,pp_8k,1,9001,623.7333556189291,1,1000000.0,0,
mtp-n2+ngram-map-k4v,pp_8k,2,9001,623.1246033214113,1,1000000.0,0,
mtp-n2+ngram-map-k4v,creative,1,29,225.14828732026956,256,72.14641212510638,0,
mtp-n2+ngram-map-k4v,creative,2,29,215.80752945028615,256,69.31849628685727,0,
mtp-n2+ngram-map-k4v,reason,1,76,332.82096421736713,1024,75.39608530860892,0,
mtp-n2+ngram-map-k4v,reason,2,76,334.0512504944837,1024,75.12107404355613,0,
