ub,profile,rep,prompt_n,prompt_per_second,predicted_n,predicted_per_second,error
512,warmup,0,19,138.47488138533186,16,43.77481142632015,
512,pp_8k,1,9001,670.3859519398591,1,1000000.0,
512,pp_8k,2,9001,669.8285012808674,1,1000000.0,
512,pp_8k,3,9001,669.8882229616636,1,1000000.0,
512,tg,1,19,143.2491932808589,256,41.092125978185216,
512,tg,2,19,138.49708791649354,256,41.12405537161287,
1024,warmup,0,19,144.3100082788373,16,43.840180621544164,
1024,pp_8k,1,9001,652.2246832514772,1,1000000.0,
1024,pp_8k,2,,,,,"curl failed"
1024,pp_8k,3,,,,,"curl failed"
1024,tg,1,,,,,"curl failed"
1024,tg,2,,,,,"curl failed"
