timestamp,variant,profile,rep,prompt_n,prompt_ms,prompt_per_second,predicted_n,predicted_ms,predicted_per_second,accept_rate,error
2026-07-06T19:45:43Z,none,warmup,0,19,1698.258,11.18793493097044,16,3289.44,4.864049807870033,,
2026-07-06T19:45:49Z,none,pp_8k,1,9001,20403.187,441.1565702946309,8,1724.865,4.638044136787516,,
2026-07-06T19:46:12Z,none,pp_8k,2,9001,20583.515,437.2916870612235,8,1723.429,4.641908660002819,,
2026-07-06T19:46:36Z,none,pp_8k,3,9001,20677.861,435.2964748142954,8,1743.87,4.587497921290005,,
2026-07-06T19:47:11Z,mtp,warmup,0,19,1833.014,10.365441835141468,16,1818.275,8.799549023112565,,
2026-07-06T19:47:15Z,mtp,pp_8k,1,9001,22155.514,406.26455337483935,8,1295.724,6.174154372381773,,
2026-07-06T19:47:40Z,mtp,pp_8k,2,9001,22243.104,404.6647446327635,8,1276.789,6.2657181413686995,,
2026-07-06T19:48:04Z,mtp,pp_8k,3,9001,22074.793,407.75014288922205,8,1285.861,6.221512278543326,,
2026-07-06T19:48:42Z,dflash,warmup,0,19,1878.224,10.11593931288281,16,5732.995,2.79086236775019,,
2026-07-06T19:48:51Z,dflash,pp_8k,1,9001,41504.029,216.8705115351572,8,4359.813,1.8349410857759265,,
2026-07-06T19:49:38Z,dflash,pp_8k,2,9001,47414.304,189.83722717937607,8,4054.586,1.973074439659191,,
2026-07-06T19:50:30Z,dflash,pp_8k,3,9001,47867.132,188.04134745319607,8,4711.55,1.6979550254162643,,
